终端MAC地址,终端类型,时间,终端行为,轨迹详细信息,终端IP地址,关联SSID,关联频段,关联信道,信号强度,VLAN,日志原文
00-08-22-7C-B4-FB,无线,Fri Nov 07 19:06:52 CST 2025,上线 (关联成功),终端在AP 前湖北-图书馆-A1901-C1 (无线/前湖北/图书馆) 关联成功,,NCUWLAN,2.4G,,,,【syslog】<182>Nov  7 19:06:52.204 2025 NCDX-AC-H3C %%10STAMGR/6/STAMGR_CLIENT_ONLINE: Client 0008-227c-b4fb went online from BSS 4073-4d56-63f0 vlan 992 with SSID NCUWLAN on AP QHB-TSG-A1901-C1 Radio ID 3. State changed to Run.
00-08-22-7C-B4-FB,无线,Fri Nov 07 19:02:36 CST 2025,上线 (关联成功),终端在AP 前湖北-图书馆-A1901-C1 (无线/前湖北/图书馆) 关联成功,,NCUWLAN,2.4G,,,,【syslog】<182>Nov  7 19:02:36.082 2025 NCDX-AC-H3C %%10STAMGR/6/STAMGR_CLIENT_ONLINE: Client 0008-227c-b4fb went online from BSS 4073-4d56-63f0 vlan 992 with SSID NCUWLAN on AP QHB-TSG-A1901-C1 Radio ID 3. State changed to Run.
00-08-22-7C-B4-FB,无线,Fri Nov 07 19:02:30 CST 2025,下线,终端在AP 前湖北-图书馆-A1901-C1 (无线/前湖北/图书馆) 下线,,NCUWLAN,2.4G,,,,【syslog】<182>Nov  7 19:02:30.360 2025 NCDX-AC-H3C %%10STAMGR/6/STAMGR_CLIENT_OFFLINE: Client 0008-227c-b4fb went offline from BSS 4073-4d56-63f0 with SSID NCUWLAN on AP QHB-TSG-A1901-C1 Radio ID 3. State changed to Unauth. Reason:AP triggered (reconnection upon weak client signal triggered client logoff).
00-08-22-7C-B4-FB,无线,Fri Nov 07 18:52:52 CST 2025,漫游,终端从AP 前湖北-图书馆-A1901-C1 ( 无线/前湖北/图书馆) 漫游到AP 前湖北-前湖图书馆-20f-a2001-1 (无线/前湖北/图书馆),,,5G,,,,【syslog】<182>Nov  7 18:52:52.815 2025 NCDX-AC-H3C %%10STAMGR/6/STAMGR_ROAM_SUCCESS: Client 0008-227c-b4fb roamed from BSSID 4073-4d56-63f0 on AP QHB-TSG-A1901-C1 Radio ID 3 of AC IP 127.0.0.1 to BSSID f474-886c-7f62 on AP qhtsg-20f-a2001-1 Radio ID 1 of AC IP 127.0.0.1 successfully.
00-08-22-7C-B4-FB,无线,Fri Nov 07 18:51:12 CST 2025,上线 (获取IP地址成功),终端在AP 前湖北-图书馆-A1901-C1 (无线/前湖北/图书馆) 获取IP地址成功,10.202.207.160,NCUWLAN,2.4G,11,,,"【syslog】<182>Nov  7 18:51:12.960 2025 NCDX-AC-H3C %%10STAMGR/6/STAMGR_CLIENT_SNOOPING: Detected client IP change: Client MAC: 0008-227c-b4fb, IP: 10.202.207.160, -NA-, -NA-, -NA-, Username: -NA-, AP name: QHB-TSG-A1901-C1, Radio ID: 3, Channel number: 11, SSID: NCUWLAN, BSSID: 4073-4d56-63f0."
00-08-22-7C-B4-FB,无线,Fri Nov 07 18:51:12 CST 2025,漫游,终端从AP 前湖北-图书馆-A1901-C1 ( 无线/前湖北/图书馆) 漫游到AP 前湖北-图书馆-A1901-C1 (无线/前湖北/图书馆),,,2.4G,,,,【syslog】<182>Nov  7 18:51:12.959 2025 NCDX-AC-H3C %%10STAMGR/6/STAMGR_ROAM_SUCCESS: Client 0008-227c-b4fb roamed from BSSID 4073-4d56-63d0 on AP QHB-TSG-A1901-C1 Radio ID 1 of AC IP 127.0.0.1 to BSSID 4073-4d56-63f0 on AP QHB-TSG-A1901-C1 Radio ID 3 of AC IP 127.0.0.1 successfully.
00-08-22-7C-B4-FB,无线,Fri Nov 07 18:49:39 CST 2025,漫游,终端从AP 前湖北-图书馆-A1901-C1 ( 无线/前湖北/图书馆) 漫游到AP 前湖北-图书馆-A1901-C1 (无线/前湖北/图书馆),,,2.4G,,,,【syslog】<182>Nov  7 18:49:39.047 2025 NCDX-AC-H3C %%10STAMGR/6/STAMGR_ROAM_SUCCESS: Client 0008-227c-b4fb roamed from BSSID 4073-4d56-63e0 on AP QHB-TSG-A1901-C1 Radio ID 2 of AC IP 127.0.0.1 to BSSID 4073-4d56-63f0 on AP QHB-TSG-A1901-C1 Radio ID 3 of AC IP 127.0.0.1 successfully.
00-08-22-8E-82-6F,无线,Fri Nov 07 19:37:49 CST 2025,漫游,终端从AP 青山湖北-物理楼北-1f-04-new ( 无线/青山湖北/物理楼) 漫游到AP 青山湖北-物理楼北-1f-05-new (无线/青山湖北/物理楼),,,2.4G,,,,【syslog】<182>Nov  7 19:37:49.217 2025 NCDX-AC-H3C %%10STAMGR/6/STAMGR_ROAM_SUCCESS: Client 0008-228e-826f roamed from BSSID 3891-d588-4b92 on AP qshbq-wll-n-1f-04-new Radio ID 2 of AC IP 127.0.0.1 to BSSID 741f-4ac9-abd2 on AP qshbq-wll-n-1f-05-new Radio ID 2 of AC IP 127.0.0.1 successfully.
00-08-22-8E-82-6F,无线,Fri Nov 07 19:37:49 CST 2025,上线 (关联成功),终端在AP 青山湖北-物理楼北-1f-05-new (无线/青山湖北/物理楼) 关联成功,,NCUWLAN,2.4G,,,,【syslog】<182>Nov  7 19:37:49.215 2025 NCDX-AC-H3C %%10STAMGR/6/STAMGR_CLIENT_ONLINE: Client 0008-228e-826f went online from BSS 741f-4ac9-abd2 vlan 962 with SSID NCUWLAN on AP qshbq-wll-n-1f-05-new Radio ID 2. State changed to Run.
00-08-22-8E-82-6F,无线,Fri Nov 07 19:34:27 CST 2025,上线 (关联成功),终端在AP 青山湖北-物理楼北-1f-04-new (无线/青山湖北/物理楼) 关联成功,,NCUWLAN,2.4G,,,,【syslog】<182>Nov  7 19:34:27.584 2025 NCDX-AC-H3C %%10STAMGR/6/STAMGR_CLIENT_ONLINE: Client 0008-228e-826f went online from BSS 3891-d588-4b92 vlan 962 with SSID NCUWLAN on AP qshbq-wll-n-1f-04-new Radio ID 2. State changed to Run.
00-08-22-C0-3A-55,无线,Fri Nov 07 19:25:17 CST 2025,漫游,终端从AP 青山湖北-物理楼北-1f-04-new ( 无线/青山湖北/物理楼) 漫游到AP 青山湖北-物理楼北-1f-05-new (无线/青山湖北/物理楼),,,2.4G,,,,【syslog】<182>Nov  7 19:25:17.655 2025 NCDX-AC-H3C %%10STAMGR/6/STAMGR_ROAM_SUCCESS: Client 0008-22c0-3a55 roamed from BSSID 3891-d588-4b92 on AP qshbq-wll-n-1f-04-new Radio ID 2 of AC IP 127.0.0.1 to BSSID 741f-4ac9-abd2 on AP qshbq-wll-n-1f-05-new Radio ID 2 of AC IP 127.0.0.1 successfully.
00-08-22-C0-3A-55,无线,Fri Nov 07 19:17:41 CST 2025,上线 (获取IP地址成功),终端在AP 青山湖北-物理楼北-1f-04-new (无线/青山湖北/物理楼) 获取IP地址成功,10.210.23.9,NCUWLAN,2.4G,1,,,"【syslog】<182>Nov  7 19:17:41.285 2025 NCDX-AC-H3C %%10STAMGR/6/STAMGR_CLIENT_SNOOPING: Detected client IP change: Client MAC: 0008-22c0-3a55, IP: 10.210.23.9, -NA-, -NA-, -NA-, Username: -NA-, AP name: qshbq-wll-n-1f-04-new, Radio ID: 2, Channel number: 1, SSID: NCUWLAN, BSSID: 3891-d588-4b92."
00-08-22-C0-3A-55,无线,Fri Nov 07 19:02:56 CST 2025,上线 (获取IP地址成功),终端在AP 青山湖北-物理楼北-1f-05-new (无线/青山湖北/物理楼) 获取IP地址成功,10.210.23.9,NCUWLAN,2.4G,6,,,"【syslog】<182>Nov  7 19:02:56.495 2025 NCDX-AC-H3C %%10STAMGR/6/STAMGR_CLIENT_SNOOPING: Detected client IP change: Client MAC: 0008-22c0-3a55, IP: 10.210.23.9, -NA-, -NA-, -NA-, Username: -NA-, AP name: qshbq-wll-n-1f-05-new, Radio ID: 2, Channel number: 6, SSID: NCUWLAN, BSSID: 741f-4ac9-abd2."
00-0A-F5-40-1B-98,无线,Fri Nov 07 19:30:07 CST 2025,异常 (地址获取失败),终端在AP 地址获取失败,,,,,,,"【syslog】<190> *Nov  7 19:30:07.820: %STAMG-6-IP_CHECK: (*2) Detect no IP address for 000a.f540.1b98, will try to acquire new address."
00-0A-F5-40-1B-98,无线,Fri Nov 07 19:14:00 CST 2025,上线 (获取IP地址成功),终端在AP 东湖北-小学-1F-会议室 (无线/东湖北/小学) 获取IP地址成功,10.208.43.230,NCUWLAN,2.4G,6,-77 dBm,,"【elog】{""sta_mac"":""000a.f540.1b98"",""sta_ip"":""10.208.43.230"",""sta_ipv6"":""::"",""ap_mac"":""1414.4b6d.f4f6"",""event"":""online"",""timestamp"":""2025-11-07 19:14:00"",""ssid"":""NCUWLAN"",""rssi"":-77,""radio_id"":1,""channel"":6,""radio_type"":""802.11b"",""ap_ip"":""10.75.128.10"",""ap_nasid"":"""",""ap_location"":"""",""ap_name"":""DHXQ-XX-1F-HYS""}"
00-0A-F5-40-1B-98,无线,Fri Nov 07 19:12:53 CST 2025,上线 (获取IP地址成功),终端在AP 东湖北-小学-2F-数学办公室 (无线/东湖北/小学) 获取IP地址成功,10.208.43.230,NCUWLAN,2.4G,1,-79 dBm,,"【elog】{""sta_mac"":""000a.f540.1b98"",""sta_ip"":""10.208.43.230"",""sta_ipv6"":""::"",""ap_mac"":""1414.4b6d.fa2a"",""event"":""online"",""timestamp"":""2025-11-07 19:12:53"",""ssid"":""NCUWLAN"",""rssi"":-79,""radio_id"":1,""channel"":1,""radio_type"":""802.11b"",""ap_ip"":""10.75.128.61"",""ap_nasid"":"""",""ap_location"":"""",""ap_name"":""DHXQ-XX-2F-SXBGS""}"
00-0A-F5-40-1B-98,无线,Fri Nov 07 19:11:13 CST 2025,上线 (获取IP地址成功),终端在AP 东湖北-小学-2F-数学办公室 (无线/东湖北/小学) 获取IP地址成功,10.208.43.230,NCUWLAN,2.4G,1,-79 dBm,,"【elog】{""sta_mac"":""000a.f540.1b98"",""sta_ip"":""10.208.43.230"",""sta_ipv6"":""::"",""ap_mac"":""1414.4b6d.fa2a"",""event"":""online"",""timestamp"":""2025-11-07 19:11:13"",""ssid"":""NCUWLAN"",""rssi"":-79,""radio_id"":1,""channel"":1,""radio_type"":""802.11b"",""ap_ip"":""10.75.128.61"",""ap_nasid"":"""",""ap_location"":"""",""ap_name"":""DHXQ-XX-2F-SXBGS""}"
00-0A-F5-40-1B-98,无线,Fri Nov 07 19:06:06 CST 2025,上线 (获取IP地址成功),终端在AP 东湖北-小学-2F-数学办公室 (无线/东湖北/小学) 获取IP地址成功,10.208.43.230,NCUWLAN,2.4G,1,-79 dBm,,"【elog】{""sta_mac"":""000a.f540.1b98"",""sta_ip"":""10.208.43.230"",""sta_ipv6"":""::"",""ap_mac"":""1414.4b6d.fa2a"",""event"":""online"",""timestamp"":""2025-11-07 19:06:06"",""ssid"":""NCUWLAN"",""rssi"":-79,""radio_id"":1,""channel"":1,""radio_type"":""802.11b"",""ap_ip"":""10.75.128.61"",""ap_nasid"":"""",""ap_location"":"""",""ap_name"":""DHXQ-XX-2F-SXBGS""}"
00-13-EF-4F-4E-6E,无线,Fri Nov 07 19:38:32 CST 2025,上线 (认证成功),终端在AP 前湖北-机电楼-D424B-1 (无线/前湖北/机电楼) 认证成功,,NCUWLAN,5G,,,,【syslog】<181>Nov 07 2025 19:38:32.840.2+08:00 NCU_HW_AC1 %%01CM/5/USER_ACCESSRESULT(s)[18261765]:[WLAN_STA_INFO_AUTHENTICATION]ACMAC:6c-34-91-f3-7a-f9;ACNAME:NCU_HW_AC1;APMAC:dc-a7-82-0c-22-d0;APNAME:QHB-JDL-D424B-1;SSID:NCUWLAN;RADIOID:1;USER:0013ef4f4e6e;MAC:00-13-ef-4f-4e-6e;IPADDRESS:-;IPV6ADDRESS:-;TIME:1762515512;ZONE:UTC+0800;DAYLIGHT:false;ERRCODE:4294967295;RESULT:Open;USERGROUP:NULL;CIB ID:410368;INTERFACE:Wlan-Dbss19752;ACCESS TYPE:None;RDSIP:-;Portal TYPE:-;AUTHID=1302162204;AUTHPROTOCOL:-;
00-13-EF-F1-0C-1E,无线,Fri Nov 07 19:54:51 CST 2025,下线,终端在AP 前湖北-智华科技楼-ap720-l-A-07F-8 (无线/前湖北/智华科技楼) 下线,10.202.227.76,NCUWLAN,5G,149,-47 dBm,,"【elog】{""sta_mac"":""0013.eff1.0c1e"",""sta_ip"":""10.202.227.76"",""sta_ipv6"":""240c:c901:2:abc1:ec06:bf22:711d:d158"",""ap_mac"":""0074.9ca7.c6de"",""event"":""offline"",""timestamp"":""2025-11-07 19:54:51"",""ssid"":""NCUWLAN"",""rssi"":-47,""radio_id"":2,""channel"":149,""radio_type"":""802.11a"",""ap_ip"":""10.80.0.178"",""ap_nasid"":"""",""ap_location"":"""",""ap_name"":""zhsyjxl-ap720-l-A-07F-8""}"
00-13-EF-F1-0C-1E,无线,Fri Nov 07 19:54:48 CST 2025,上线 (获取IP地址成功),终端在AP 前湖北-智华科技楼-ap720-l-A-07F-8 (无线/前湖北/智华科技楼) 获取IP地址成功,10.202.227.76,NCUWLAN,5G,149,-47 dBm,,"【elog】{""sta_mac"":""0013.eff1.0c1e"",""sta_ip"":""10.202.227.76"",""sta_ipv6"":""240c:c901:2:abc1:ec06:bf22:711d:d158"",""ap_mac"":""0074.9ca7.c6de"",""event"":""online"",""timestamp"":""2025-11-07 19:54:48"",""ssid"":""NCUWLAN"",""rssi"":-47,""radio_id"":2,""channel"":149,""radio_type"":""802.11a"",""ap_ip"":""10.80.0.178"",""ap_nasid"":"""",""ap_location"":"""",""ap_name"":""zhsyjxl-ap720-l-A-07F-8""}"
00-13-EF-F1-0C-1E,无线,Fri Nov 07 19:54:47 CST 2025,上线 (获取IP地址成功),终端在AP 前湖北-智华科技楼-ap720-l-A-07F-8 (无线/前湖北/智华科技楼) 获取IP地址成功,10.202.227.76,NCUWLAN,5G,149,-47 dBm,,"【elog】{""sta_mac"":""0013.eff1.0c1e"",""sta_ip"":""10.202.227.76"",""sta_ipv6"":""240c:c901:2:abc1:3415:7531:fc9e:fa13"",""ap_mac"":""0074.9ca7.c6de"",""event"":""online"",""timestamp"":""2025-11-07 19:54:47"",""ssid"":""NCUWLAN"",""rssi"":-47,""radio_id"":2,""channel"":149,""radio_type"":""802.11a"",""ap_ip"":""10.80.0.178"",""ap_nasid"":"""",""ap_location"":"""",""ap_name"":""zhsyjxl-ap720-l-A-07F-8""}"
00-13-EF-F1-0C-1E,无线,Fri Nov 07 19:54:45 CST 2025,上线 (获取IP地址成功),终端在AP 前湖北-智华科技楼-ap720-l-A-07F-8 (无线/前湖北/智华科技楼) 获取IP地址成功,10.202.227.76,NCUWLAN,5G,149,-47 dBm,,"【elog】{""sta_mac"":""0013.eff1.0c1e"",""sta_ip"":""10.202.227.76"",""sta_ipv6"":""240c:c901:2:abc1:6892:4fa0:29d1:aed4"",""ap_mac"":""0074.9ca7.c6de"",""event"":""online"",""timestamp"":""2025-11-07 19:54:45"",""ssid"":""NCUWLAN"",""rssi"":-47,""radio_id"":2,""channel"":149,""radio_type"":""802.11a"",""ap_ip"":""10.80.0.178"",""ap_nasid"":"""",""ap_location"":"""",""ap_name"":""zhsyjxl-ap720-l-A-07F-8""}"
00-13-EF-F1-0C-1E,无线,Fri Nov 07 19:54:44 CST 2025,下线,终端在AP 前湖北-智华科技楼-ap720-l-A-07F-8 (无线/前湖北/智华科技楼) 下线,10.202.227.76,NCUWLAN,5G,149,-47 dBm,,"【elog】{""sta_mac"":""0013.eff1.0c1e"",""sta_ip"":""10.202.227.76"",""sta_ipv6"":""240c:c901:2:abc1:a56b:c7d5:9558:15e3"",""ap_mac"":""0074.9ca7.c6de"",""event"":""offline"",""timestamp"":""2025-11-07 19:54:44"",""ssid"":""NCUWLAN"",""rssi"":-47,""radio_id"":2,""channel"":149,""radio_type"":""802.11a"",""ap_ip"":""10.80.0.178"",""ap_nasid"":"""",""ap_location"":"""",""ap_name"":""zhsyjxl-ap720-l-A-07F-8""}"
00-13-EF-F1-0C-1E,无线,Fri Nov 07 19:54:40 CST 2025,上线 (获取IP地址成功),终端在AP 前湖北-智华科技楼-ap720-l-A-07F-8 (无线/前湖北/智华科技楼) 获取IP地址成功,10.202.227.76,NCUWLAN,5G,149,-47 dBm,,"【elog】{""sta_mac"":""0013.eff1.0c1e"",""sta_ip"":""10.202.227.76"",""sta_ipv6"":""240c:c901:2:abc1:6892:4fa0:29d1:aed4"",""ap_mac"":""0074.9ca7.c6de"",""event"":""online"",""timestamp"":""2025-11-07 19:54:40"",""ssid"":""NCUWLAN"",""rssi"":-47,""radio_id"":2,""channel"":149,""radio_type"":""802.11a"",""ap_ip"":""10.80.0.178"",""ap_nasid"":"""",""ap_location"":"""",""ap_name"":""zhsyjxl-ap720-l-A-07F-8""}"
00-13-EF-F1-0C-1E,无线,Fri Nov 07 19:54:35 CST 2025,下线,终端在AP 前湖北-智华科技楼-ap720-l-A-07F-8 (无线/前湖北/智华科技楼) 下线,10.202.227.76,NCUWLAN,5G,149,-47 dBm,,"【elog】{""sta_mac"":""0013.eff1.0c1e"",""sta_ip"":""10.202.227.76"",""sta_ipv6"":""240c:c901:2:abc1:6892:4fa0:29d1:aed4"",""ap_mac"":""0074.9ca7.c6de"",""event"":""offline"",""timestamp"":""2025-11-07 19:54:35"",""ssid"":""NCUWLAN"",""rssi"":-47,""radio_id"":2,""channel"":149,""radio_type"":""802.11a"",""ap_ip"":""10.80.0.178"",""ap_nasid"":"""",""ap_location"":"""",""ap_name"":""zhsyjxl-ap720-l-A-07F-8""}"
